Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
ID001002XY,Male,No,0,Graduate,No,5849,0,,360,1,Urban,Y
ID001003XY,Male,Yes,1,Graduate,No,4583,1508,128,360,1,Rural,N
ID001005XY,Male,Yes,0,Graduate,Yes,3000,0,66,360,1,Urban,Y
ID001006XY,Male,Yes,0,Not Graduate,No,2583,2358,120,360,1,Urban,Y
ID001008XY,Male,No,0,Graduate,No,6000,0,141,360,1,Urban,Y
ID001011XY,Male,Yes,2,Graduate,Yes,5417,4196,267,360,1,Urban,Y
ID001013XY,Male,Yes,0,Not Graduate,No,2333,1516,95,360,1,Urban,Y
ID001014XY,Male,Yes,3+,Graduate,No,3036,2504,158,360,0,Semiurban,N
ID001018XY,Male,Yes,2,Graduate,No,4006,1526,168,360,1,Urban,Y
ID001020XY,Male,Yes,1,Graduate,No,12841,10968,349,360,1,Semiurban,N
ID001024XY,Male,Yes,2,Graduate,No,3200,700,70,360,1,Urban,Y
ID001027XY,Male,Yes,2,Graduate,,2500,1840,109,360,1,Urban,Y
ID001028XY,Male,Yes,2,Graduate,No,3073,8106,200,360,1,Urban,Y
ID001029XY,Male,No,0,Graduate,No,1853,2840,114,360,1,Rural,N
ID001030XY,Male,Yes,2,Graduate,No,1299,1086,17,120,1,Urban,Y
ID001032XY,Male,No,0,Graduate,No,4950,0,125,360,1,Urban,Y
ID001034XY,Male,No,1,Not Graduate,No,3596,0,100,240,,Urban,Y
ID001036XY,Female,No,0,Graduate,No,3510,0,76,360,0,Urban,N
ID001038XY,Male,Yes,0,Not Graduate,No,4887,0,133,360,1,Rural,N
ID001041XY,Male,Yes,0,Graduate,,2600,3500,115,,1,Urban,Y
ID001043XY,Male,Yes,0,Not Graduate,No,7660,0,104,360,0,Urban,N
ID001046XY,Male,Yes,1,Graduate,No,5955,5625,315,360,1,Urban,Y
ID001047XY,Male,Yes,0,Not Graduate,No,2600,1911,116,360,0,Semiurban,N
ID001050XY,,Yes,2,Not Graduate,No,3365,1917,112,360,0,Rural,N
ID001052XY,Male,Yes,1,Graduate,,3717,2925,151,360,,Semiurban,N
ID001066XY,Male,Yes,0,Graduate,Yes,9560,0,191,360,1,Semiurban,Y
ID001068XY,Male,Yes,0,Graduate,No,2799,2253,122,360,1,Semiurban,Y
ID001073XY,Male,Yes,2,Not Graduate,No,4226,1040,110,360,1,Urban,Y
ID001086XY,Male,No,0,Not Graduate,No,1442,0,35,360,1,Urban,N
ID001087XY,Female,No,2,Graduate,,3750,2083,120,360,1,Semiurban,Y
ID001091XY,Male,Yes,1,Graduate,,4166,3369,201,360,,Urban,N
ID001095XY,Male,No,0,Graduate,No,3167,0,74,360,1,Urban,N
ID001097XY,Male,No,1,Graduate,Yes,4692,0,106,360,1,Rural,N
ID001098XY,Male,Yes,0,Graduate,No,3500,1667,114,360,1,Semiurban,Y
ID001100XY,Male,No,3+,Graduate,No,12500,3000,320,360,1,Rural,N
